date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:23	169078/169078	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:16:17%20GMT	https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/stats/reach/defaultdb38.html	(from )
23:11:23	180/180	------	200	untouched ('OK')	text/plain	etag:%2205775391431cc1:0%22	https://halo.bungie.net/robots.txt		(from )
23:11:23	170904/170904	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:16:22%20GMT	https://halo.bungie.net/stats/reach/default.aspx?player=mart%20S%20117	C:/My%20Web%20Sites/edfg/stats/reach/default5d0a.html	(from )
23:11:23	169871/169871	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:16:30%20GMT	https://halo.bungie.net/Stats/Reach/Default.aspx?player=Player3th0mas&sg=0	C:/My%20Web%20Sites/edfg/Stats/Reach/Defaultbdc1.html	(from )
23:11:23	157503/157503	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:16:36%20GMT	https://halo.bungie.net/Stats/Reach/Default.aspx?player=HardcoreYorkie	C:/My%20Web%20Sites/edfg/Stats/Reach/Default0fe9.html	(from )
23:11:23	169112/169112	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:16:40%20GMT	https://halo.bungie.net/Stats/Reach/Default.aspx?player=Kenan+S117&sg=0	C:/My%20Web%20Sites/edfg/Stats/Reach/Defaultd60c.html	(from )
23:11:23	146157/146157	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:16:44%20GMT	https://halo.bungie.net/Stats/Reach/Default.aspx?player=Kenan+S239&sg=0	C:/My%20Web%20Sites/edfg/Stats/Reach/Defaulte10d.html	(from )
23:11:23	149737/149737	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:16:46%20GMT	https://halo.bungie.net/Stats/Reach/Default.aspx?player=Henkibrij&sg=0	C:/My%20Web%20Sites/edfg/Stats/Reach/Defaulta724.html	(from )
23:11:23	169747/169747	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:16:51%20GMT	https://halo.bungie.net/Stats/Reach/Default.aspx?player=Legiondude1&sg=0	C:/My%20Web%20Sites/edfg/Stats/Reach/Default4100.html	(from )
23:11:23	154122/154122	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:16:54%20GMT	https://halo.bungie.net/Stats/Reach/Default.aspx?player=Sirolf0Reversed&sg=0	C:/My%20Web%20Sites/edfg/Stats/Reach/Defaultd60d.html	(from )
23:11:24	4994/4994	------	200	untouched ('')	application/javascript	etag:%220f2a92bd4dcd1:0%22	https://halo.bungie.net/javascript/rad3.js?ver=2.0.4777.31696	C:/My%20Web%20Sites/edfg/javascript/rad3cac8.js	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:24	2294/2294	------	200	untouched ('')	application/javascript	etag:%220e2f890bd4dcd1:0%22	https://halo.bungie.net/javascript/cookie.js?ver=2.0.4777.31696	C:/My%20Web%20Sites/edfg/javascript/cookiecac8.js	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:24	23063/23063	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2004%20Dec%202019%2002:54:03%20GMT	https://halo.bungie.net/WebResource.axd?d=URQF-wbOnyt1QrnNYbTb4UqEY6daVGW8BiwqV5pV_Zv5OV2bVrFj_1cGVZg1&t=637109960437816177	C:/My%20Web%20Sites/edfg/WebResource712a.js	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:24	17953/17953	------	200	untouched ('')	application/javascript	etag:%220f2a92bd4dcd1:0%22	https://halo.bungie.net/javascript/utility.js?ver=2.0.4777.31696	C:/My%20Web%20Sites/edfg/javascript/utilitycac8.js	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:24	108090/108090	------	200	untouched ('OK')	text/css	etag:%220d4d189bd4dcd1:0%22	https://halo.bungie.net/base_css/base.css?ver=2.0.4777.31696	C:/My%20Web%20Sites/edfg/base_css/basecac8.css	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:24	15088/15088	------	200	untouched ('OK')	text/css	etag:%220d4d189bd4dcd1:0%22	https://halo.bungie.net/base_css/images.css?ver=2.0.4777.31696	C:/My%20Web%20Sites/edfg/base_css/imagescac8.css	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:24	40789/40789	------	200	untouched ('OK')	text/css	etag:%220138bbd4dcd1:0%22	https://halo.bungie.net/base_css/rad_bungie.css?ver=2.0.4777.31696	C:/My%20Web%20Sites/edfg/base_css/rad_bungiecac8.css	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:24	2229/2229	------	200	untouched ('OK')	text/css	etag:%220d4d189bd4dcd1:0%22	https://halo.bungie.net/base_css/content.css?ver=2.0.4777.31696	C:/My%20Web%20Sites/edfg/base_css/contentcac8.css	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:24	2074/2074	------	200	untouched ('OK')	text/css	etag:%220138bbd4dcd1:0%22	https://halo.bungie.net/base_css/sprites/nav-icons.css	C:/My%20Web%20Sites/edfg/base_css/sprites/nav-icons.css	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:24	54553/54553	------	200	untouched ('OK')	text/css	etag:%220d4d189bd4dcd1:0%22	https://halo.bungie.net/base_css/new_reachStats.css	C:/My%20Web%20Sites/edfg/base_css/new_reachStats.css	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:24	3/3	------	200	untouched ('OK')	text/css	etag:%220d4d189bd4dcd1:0%22	https://halo.bungie.net/App_Themes/Main_Default/Main_Default.css	C:/My%20Web%20Sites/edfg/App_Themes/Main_Default/Main_Default.css	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:25	2353/2353	------	200	untouched ('OK')	text/css	etag:%220138bbd4dcd1:0%22	https://halo.bungie.net/base_css/page_css/reachServiceRecord.css	C:/My%20Web%20Sites/edfg/base_css/page_css/reachServiceRecord.css	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:25	102804/102804	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2002%20Feb%202021%2020:30:20%20GMT	https://halo.bungie.net/ScriptResource.axd?d=BD1fNaFYBu6fJO7O6Slk6iCsoQCy7b0DkdxMl-1SkUVN1_XCHCDHtJfuyFQpNTRbfP5s1VYQWdtHL_-q6wAtQouHM6butC3bwmoKocP0G2xsVY7nn32-Nf8r-V3vkENG63tykw2&t=ffffffffe6d5a9ac	C:/My%20Web%20Sites/edfg/ScriptResource6088.js	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:25	40329/40329	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2002%20Feb%202021%2021:18:35%20GMT	https://halo.bungie.net/ScriptResource.axd?d=HeicGOaLJhASjvNIhDLiH5hZxjXU0szfnnjSx7cm6p3txfMF2rTpmXa6Ln9fLKYt9mIDMAFSkeOz43Wi7q1lNwhblZMANaTxadlBUTb0LnDzFaIZE15_i0e2l5iq0jBO561_0Dmu_qGJ5PGM0&t=ffffffffe6d5a9ac	C:/My%20Web%20Sites/edfg/ScriptResource0a64.js	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:25	44892/44892	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2002%20Feb%202021%2020:38:39%20GMT	https://halo.bungie.net/ScriptResource.axd?d=Lagg05Oui6O0kMABnr--qSBXi_28AKWhsV9db5MM5eo-R7hBf6juiAJBW5dEXCMv8zfzeKqbJLnzX_dYMrERJeF3LBTu0nfOXxBTTA2&t=59936b01	C:/My%20Web%20Sites/edfg/ScriptResourceb436.axd	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:26	49/49	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2002%20Feb%202021%2020:32:00%20GMT	https://halo.bungie.net/ScriptResource.axd?d=5gSs6ryUK999s7H2XduQMQYoBT4a-1FhHqrqvB5RKNEjI2Uh_R-C7p7MIx4ghq4WDgManjcc2lR7KP1rnMdCKiVyo_7VoVSLWa6CD0RamloM6LVP0&t=59936b01	C:/My%20Web%20Sites/edfg/ScriptResourced925.axd	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:26	85336/85336	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2002%20Feb%202021%2020:41:30%20GMT	https://halo.bungie.net/ScriptResource.axd?d=BvkW0lww81H7wU8A3awrEa8TzXtpDnxG5eG4qOXYy9TlHE2ft0hhvsZG1ExLyTbEtMLpdVxk0B4s3zeVTpgtDBeYDRK4_jjJIJWGu49Dk90joO-80&t=59936b01	C:/My%20Web%20Sites/edfg/ScriptResourcee818.axd	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:26	1319/1319	------	200	untouched ('')	application/javascript	etag:%220e2f890bd4dcd1:0%22	https://halo.bungie.net/javascript/error_handling.js	C:/My%20Web%20Sites/edfg/javascript/error_handling.js	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:26	256773/256773	------	200	untouched ('')	application/javascript	etag:%220e2f890bd4dcd1:0%22	https://halo.bungie.net/javascript/highcharts.src.js	C:/My%20Web%20Sites/edfg/javascript/highcharts.src.js	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:26	11095/11095	------	200	untouched ('')	application/javascript	etag:%220f2a92bd4dcd1:0%22	https://halo.bungie.net/javascript/reachJS.js	C:/My%20Web%20Sites/edfg/javascript/reachJS.js	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:26	25101/25101	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:02%20GMT	https://halo.bungie.net/stats/reach/online.aspx	C:/My%20Web%20Sites/edfg/stats/reach/online.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:26	1705/1705	------	200	untouched ('')	image/gif	etag:%2205c49b67bcbce1:0%22	https://halo.bungie.net/images/base_struct_images/top_nav/icon_avatar_placeholder.gif	C:/My%20Web%20Sites/edfg/images/base_struct_images/top_nav/icon_avatar_placeholder.gif	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:26	169080/169080	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:08%20GMT	https://halo.bungie.net/Stats/Reach/default.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/defaultdb38-2.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:26	2924/2924	------	200	untouched ('')	image/png	etag:%2204fd4737ccbce1:0%22	https://halo.bungie.net/images/reachstats/grades/med/BA18BEFE-483D-4326-B3C6-FDBB0EDD5DCB.png	C:/My%20Web%20Sites/edfg/images/reachstats/grades/med/BA18BEFE-483D-4326-B3C6-FDBB0EDD5DCB.png	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	3916/3916	------	200	untouched ('')	image/png	etag:%2209bf6f7ccbce1:0%22	https://halo.bungie.net/images/reachstats/campaign_progress/legendary.png	C:/My%20Web%20Sites/edfg/images/reachstats/campaign_progress/legendary.png	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	36894/36894	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:11%20GMT	https://halo.bungie.net/stats/reach/careerstats/playlists.aspx?player=sean117vd&vc=2	C:/My%20Web%20Sites/edfg/stats/reach/careerstats/playlists2219.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	3702/3702	------	200	untouched ('')	image/png	etag:%2209bf6f7ccbce1:0%22	https://halo.bungie.net/images/reachstats/arena_div/0.png	C:/My%20Web%20Sites/edfg/images/reachstats/arena_div/0.png	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	335159/335159	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:13%20GMT	https://halo.bungie.net/Stats/Reach/PlayerGameHistory.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/PlayerGameHistorydb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	98523/98523	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:14%20GMT	https://halo.bungie.net/Stats/Reach/Commendations.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/Commendationsdb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	46505/46505	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:15%20GMT	https://halo.bungie.net/Stats/Reach/Heatmaps.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/Heatmapsdb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	33389/33389	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:17%20GMT	https://halo.bungie.net/Stats/Reach/Achievements.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/Achievementsdb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	41994/41994	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:17%20GMT	https://halo.bungie.net/Account/profile.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Account/profiledb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	57548/57548	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:18%20GMT	https://halo.bungie.net/Stats/Reach/CareerStats/default.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/CareerStats/defaultdb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	365511/365511	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:20%20GMT	https://halo.bungie.net/Stats/Reach/CareerStats/playlists.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/CareerStats/playlistsdb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	288863/288863	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:22%20GMT	https://halo.bungie.net/Stats/Reach/CareerStats/maps.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/CareerStats/mapsdb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	195438/195438	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:22%20GMT	https://halo.bungie.net/Stats/Reach/CareerStats/medals.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/CareerStats/medalsdb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	31022/31022	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2002%20Feb%202021%2020:33:08%20GMT	https://halo.bungie.net/ScriptResource.axd?d=kqjdaIkiaQyXWXa1dzq3jG62iXI8OVSNWMR_8WDP2M626mgfjQrrzJJ2NQruapULmJ1TzS1Nm44_jZyvL2jdWDvegWw2ILAPEes_4A2&t=59936b01	C:/My%20Web%20Sites/edfg/ScriptResourcea4fb.axd	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:27	177188/177188	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:24%20GMT	https://halo.bungie.net/Stats/Reach/CareerStats/weapons.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/CareerStats/weaponsdb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:28	132846/132846	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:27%20GMT	https://halo.bungie.net/Stats/Reach/CareerStats/enemies.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/CareerStats/enemiesdb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:28	63615/63615	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:29%20GMT	https://halo.bungie.net/Stats/Reach/FileShare.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/FileSharedb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:28	34974/34974	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:30%20GMT	https://halo.bungie.net/Stats/Reach/RenderedVideos.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/RenderedVideosdb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:28	33883/33883	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:33%20GMT	https://halo.bungie.net/Stats/Reach/FileSets.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/FileSetsdb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:28	125582/125582	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:34%20GMT	https://halo.bungie.net/Stats/Reach/Screenshots.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/Stats/Reach/Screenshotsdb38.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:28	25101/25101	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:38%20GMT	https://halo.bungie.net/Stats/Reach/online.aspx	C:/My%20Web%20Sites/edfg/Stats/Reach/online-2.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:28	202546/202546	------	200	untouched ('')	image/png	date:Thu,%2004%20Feb%202021%2016:15:00%20GMT	https://halo.bungie.net/stats/reach/playermodel.ashx?rpis=sTqewK0B1$Ll7nxfLeAsjg==	C:/My%20Web%20Sites/edfg/stats/reach/playermodelc547.png	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:28	97220/97220	------	200	untouched ('')	image/png	date:Thu,%2004%20Feb%202021%2016:15:00%20GMT	https://halo.bungie.net/stats/reach/playermodel.ashx?rpis=RknqAgADgLw82Jkpx9nSQh5ImKe$MDqk6uewoY0KT0c=	C:/My%20Web%20Sites/edfg/stats/reach/playermodela76f.png	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:28	4232/4232	------	200	untouched ('')	image/png	etag:%22030ca797ccbce1:0%22	https://halo.bungie.net/images/reachStatsNew/bg_piegraphlarge.png	C:/My%20Web%20Sites/edfg/images/reachStatsNew/bg_piegraphlarge.png	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:28	98756/98756	------	200	untouched ('OK')	text/html	date:Thu,%2004%20Feb%202021%2016:17:40%20GMT	https://halo.bungie.net/stats/reach/commendations.aspx?player=sean117vd	C:/My%20Web%20Sites/edfg/stats/reach/commendationsdb38-2.html	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
23:11:28	2299/2299	------	200	untouched ('')	image/png	etag:%220c840707ccbce1:0%22	https://halo.bungie.net/images/reachstats/commendations/onyx/onyx_small_cqc_multiplayer.png	C:/My%20Web%20Sites/edfg/images/reachstats/commendations/onyx/onyx_small_cqc_multiplayer.png	(from https://halo.bungie.net/stats/reach/default.aspx?player=sean117vd)
